2017-11-07,asx,asx,10:45,asx:SUN,BRIEF-Suncorp Group will not appeal NZ Commerce Commission's Decision to decline Tower acquisition �
2017-11-07,asx,asx,13:40,asx:SUN,BUZZ-NZ's Tower slips to over 11-mth low; deal with Suncorp's NZ unit scrapped
2017-11-07,asx,asx,16:28,asx:SUN,BRIEF-サンコープ、ＮＺＣＣのタワー買収拒否の決定に対して上訴しない予定�
2017-11-07,asx,asx,09:47,asx:CIM,"CIMIC GROUP -AWARDED A A$300 MLN CONTRACT BY KALTIM PRIMA COAL TO EXPAND OPERATIONS AT SANGATTA COAL MINE IN EAST KALIMANTAN, INDONESIA�"
2017-11-07,asx,asx,09:48,asx:CIM,CIMIC GROUP LTD <CIM.AX> - � CONTRACT WILL INCREASE COAL PRODUCTION AT MELAWAN PIT BY 12 MLN TONNES� OVER 4 YEARS
2017-11-07,asx,asx,10:38,asx:CIM,BRIEF-Cimic Group awarded A$300 mln contract by Kaltim Prima Coal 
2017-11-07,asx,asx,17:50,asx:CIM,BRIEF-ＣＩＭＩＣ、Kaltim Prima Coalから3億豪ドルの契約を獲得
2017-11-07,asx,asx,23:23,asx:CIM,Hochtief steigert Gewinn und Auftragseingang deutlich
2017-11-07,asx,asx,09:38,asx:CSL,"ENGLAND:ดัชนีค่าระวางเรือ(Baltic Dry Index)ปิดลบ 3 จุด ที่ 1,473"
2017-11-07,asx,asx,05:42,asx:BHP,ロンドン株式市場＝横ばい、バークレイズ売られる
2017-11-07,asx,asx,09:38,asx:BHP,"ENGLAND:ดัชนีค่าระวางเรือ(Baltic Dry Index)ปิดลบ 3 จุด ที่ 1,473"
2017-11-07,asx,asx,10:55,asx:BHP,BUZZ-Australia's miners up; metals index hits over 3-yr high
2017-11-07,asx,asx,13:41,asx:BHP,シドニー株式市場・中盤＝反発、6000超え約10年ぶり高値
2017-11-07,asx,asx,17:06,asx:BHP,AXJO:ตลาดหุ้นออสเตรเลีย:ดัชนีออสซี่ปิดพุ่งใกล้นิวไฮรอบ 10 ปี 
2017-11-07,asx,asx,08:26,asx:MQA,MACQUARIE ATLAS ROADS GROUP - �NOTES APRR ISSUED EUR700 MLN OF BONDS WITH 1.50% COUPON UNDER ITS EURO MEDIUM TERM NOTE PROGRAM� MATURING IN JAN. 2033 
2017-11-07,asx,asx,08:50,asx:MQA,"BRIEF-Macquarie Atlas Roads Group �notes APRR's issuance of EUR700 mln bonds maturing in Jan., 2033"
2017-11-07,asx,asx,09:38,asx:ORG,"ENGLAND:ดัชนีค่าระวางเรือ(Baltic Dry Index)ปิดลบ 3 จุด ที่ 1,473"
2017-11-07,asx,asx,13:27,asx:ARB,BUZZ-Australia ARB Corp rises to record high 
2017-11-07,asx,asx,13:18,asx:FPH,BUZZ-Australian shares of Fisher & Paykel Healthcare hit record high 
2017-11-07,asx,asx,11:51,asx:RFX,BUZZ-Australia's RedFlow hits over 2-month high 
2017-11-07,asx,asx,09:38,asx:VAH,"ENGLAND:ดัชนีค่าระวางเรือ(Baltic Dry Index)ปิดลบ 3 จุด ที่ 1,473"
2017-11-07,asx,asx,09:05,asx:RCG,"RCG CORPORATION LTD -  IVAN HAMMERSCHLAG, CHAIRMAN  OF RCG HAS DECIDED TO RETIRE ��"
2017-11-07,asx,asx,09:06,asx:RCG,RCG CORPORATION LTD - BOARD ELECTED DAVID GORDON TO THE CHAIR��
2017-11-07,asx,asx,12:06,asx:RCG,"BRIEF-Rcg corporation ltd - 	ivan hammerschlag, chairman  of rcg has decided to retire ��"
2017-11-07,asx,asx,13:52,asx:RCG,BUZZ-Australia's RCG Corporation hits 1-week high 
2017-11-07,asx,asx,13:41,asx:WPL,シドニー株式市場・中盤＝反発、6000超え約10年ぶり高値
2017-11-07,asx,asx,14:20,asx:BGS,BUZZ-Australia's Birimian rises on positive drilling results in Mali project
2017-11-07,asx,asx,12:12,asx:FAR,BUZZ-Australia's FAR Ltd hits over 5-month high  
2017-11-07,asx,asx,09:11,asx:HEG,HILL END GOLD LTD - SEEKS TRADING HALT PENDING ANNOUNCEMENT �REGARDING A FUNDING INITIATIVE �
